score,type
0.995814409126181,RT(tag|tag)
0.99669418807371,RT(tag|tag)
0.9977916256980893,RT(tag|tag)
0.9967091927580412,RT(tag|tag)
0.9975969780311045,RT(tag|tag)
0.9968870792041168,RT(tag|tag)
0.9970103676420868,RT(tag|tag)
0.9966064161169164,RT(tag|tag)
0.9956580181017163,RT(tag|tag)
0.9966270871240495,RT(tag|tag)
0.997200058839728,RT(tag|tag)
0.9947211477004293,RT(tag|tag)
0.9878639296128758,RT(rev|tag)
0.9913609372328407,RT(rev|tag)
0.9928112514346242,RT(rev|tag)
0.9889522864526433,RT(rev|tag)
0.9909886818795127,RT(rev|tag)
0.9916116861155015,RT(rev|tag)
0.9866763428416768,RT(rev|tag)
0.9925431506776792,RT(rev|tag)
0.9896876593025222,RT(rev|tag)
0.9898377978959387,RT(rev|tag)
0.9869869009105522,RT(rev|tag)
0.994040636956392,RT(rev|tag)
0.9953517918904657,RT(tag|rev)
0.9963836132316127,RT(tag|rev)
0.9973086152169909,RT(tag|rev)
0.9951190285773747,RT(tag|rev)
0.9974576917298947,RT(tag|rev)
0.9968576010840668,RT(tag|rev)
0.9967293689525771,RT(tag|rev)
0.9964380257265228,RT(tag|rev)
0.995162151951958,RT(tag|rev)
0.9966595068326827,RT(tag|rev)
0.9965332983808722,RT(tag|rev)
0.9941674816127145,RT(tag|rev)
0.9887085373294564,RT(rev|rev)
0.9920395657017619,RT(rev|rev)
0.9943227483061216,RT(rev|rev)
0.9929501109630147,RT(rev|rev)
0.991619432980914,RT(rev|rev)
0.9923966535140762,RT(rev|rev)
0.9890355724199901,RT(rev|rev)
0.9926357742572015,RT(rev|rev)
0.9916025661468371,RT(rev|rev)
0.9902467876362342,RT(rev|rev)
0.989991646605544,RT(rev|rev)
0.9953174712265103,RT(rev|rev)
