Feature,Importance
Acetyl (Protein N-term),0.0
Oxidation (M),4.666666666666667
Charge,173.33333333333334
Missed cleavages,330.6666666666667
Length,2216.0
PEPRT,2247.3333333333335
DeltaRT,2393.6666666666665
ScoreRT,2507.3333333333335
RT(*|tag),2662.3333333333335
Retention time,3802.0
RT(*|rev),4176.333333333333
Score,4588.666666666667
Retention length,5260.666666666667
ScoreCosine,5287.333333333333
MS/MS scan number,5446.333333333333
Delta score,5530.0
PEP,5743.666666666667
PIF,6189.333333333333
PEPCosine,6357.0
Intensity,6953.333333333333
Mass,6960.333333333333
m/z,6981.666666666667
Cosine,7168.666666666667
Mass error [ppm],7245.333333333333
